,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
2250,Dan Manasoiu,,--,--,--,,0,0,0
2251,Troy Mandaloniz,Rude Boy,"5' 9""",170 lbs.,--,Orthodox,3,2,0
2252,Nate Maness,Mayhem,"5' 10""",125 lbs.,"72.0""",Orthodox,15,3,0
2253,Michael Mangan,,--,155 lbs.,--,,0,3,0
2254,Gary Mangat,,"5' 7""",135 lbs.,--,,15,3,0
2255,Melvin Manhoef,No Mercy,"5' 9""",185 lbs.,--,Orthodox,30,14,1
2256,Melchor Manibusan,Barracuda,"5' 5""",154 lbs.,--,Southpaw,2,4,0
2257,Jon Manley,,"6' 1""",170 lbs.,--,Orthodox,9,4,0
2258,Steve Mann,,"6' 1""",170 lbs.,--,,12,5,0
2259,Marnic Mann,The Sawed-Off Savage,"5' 0""",115 lbs.,"64.0""",Southpaw,6,3,0
2260,Dylan Mantello,The Quiet Man,"6' 1""",155 lbs.,"73.0""",Orthodox,7,3,0
2261,Chris Manuel,,"5' 9""",135 lbs.,--,Orthodox,9,7,2
2262,Jimi Manuwa,Poster Boy,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0
2263,Cristiano Marcello,,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0
2264,Daniel Marcos,Soncora,"5' 7""",135 lbs.,"69.0""",Orthodox,15,0,0
2265,Jose Maria,No Chance,"5' 5""",125 lbs.,--,Orthodox,37,7,0
2266,Marcos Mariano,Dhalsim,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0
2267,Enrique Marin,Wasabi,"5' 10""",170 lbs.,--,,10,4,0
2268,Chepe Mariscal,Machine Gun,"5' 7""",145 lbs.,"69.0""",Orthodox,16,6,1
2269,Ronny Markes,,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0
2270,Rory Markham,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0
2271,Randa Markos,Quiet Storm,"5' 4""",115 lbs.,"63.0""",Orthodox,11,12,1
2272,Christina Marks,,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0
2273,Brendon Marotte,The Kid,"5' 9""",145 lbs.,"70.0""",Orthodox,8,2,0
2274,Nate Marquardt,The Great,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2
2275,Danilo Marques,,"6' 6""",205 lbs.,"77.0""",Orthodox,11,4,0
2276,Julian Marquez,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72.0""",Orthodox,9,4,0
2277,Carmelo Marrero,The Fury,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0
2278,Cesar Marscucci,,--,--,--,,3,2,0
2279,John Marsh,,"6' 0""",265 lbs.,--,Orthodox,8,7,0
2280,CJ Marsh,,--,--,--,,5,7,0
2281,Eliot Marshall,Fire,"6' 2""",205 lbs.,"77.0""",Orthodox,10,4,0
2282,Doug Marshall,The Rhino,"5' 10""",205 lbs.,--,Orthodox,18,8,0
2283,David Marshall,,"6' 2""",170 lbs.,--,,8,4,0
2284,Francis Marshall,Fire,"5' 9""",145 lbs.,"72.0""",Orthodox,7,2,0
2285,Jack Marshman,The Hammer,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0
2286,Terry Martin,,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0
2287,Eric Martin,,--,--,--,,0,1,0
2288,Justin Martin,,"6' 0""",185 lbs.,--,,4,3,0
2289,Dave Martin,,"6' 0""",205 lbs.,--,,0,2,0
2290,Joe Martin,,"5' 9""",170 lbs.,--,,6,8,0
2291,Anthony Rocco Martin,,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0
2292,Mallory Martin,,"5' 4""",115 lbs.,"63.0""",Orthodox,7,5,0
2293,Michal Martinek,,"6' 2""",230 lbs.,--,Southpaw,7,1,0
2294,Rainy Martinez,,"6' 0""",199 lbs.,--,Orthodox,0,2,0
