,Fighter Name,Nickname,Height,Weight,Reach,Stance,Win,Lose,Draw
891,Blood Diamond,,"5' 11""",170 lbs.,"76.0""",Switch,3,3,0
892,Eldo Xavier Dias,,"5' 11""",180 lbs.,--,,0,1,0
893,Rafael Dias,,"5' 9""",145 lbs.,--,Orthodox,17,12,2
894,Hacran Dias,Barnabe,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,1
895,Victor Dias,Crazy Horse,"5' 6""",125 lbs.,"69.0""",Orthodox,11,3,0
896,Nick Diaz,,"6' 1""",170 lbs.,"76.0""",Southpaw,26,10,0
897,Nate Diaz,,"6' 0""",170 lbs.,"76.0""",Southpaw,22,13,0
898,Michael Diaz,,--,260 lbs.,--,,1,2,0
899,Ryan Diaz,,--,145 lbs.,--,,13,14,0
900,Adrian Diaz,,"5' 10""",145 lbs.,--,Southpaw,11,4,1
901,Ozzy Diaz,,"6' 4""",185 lbs.,"79.0""",Orthodox,7,2,0
902,Mark Dickman,Tricky,"5' 9""",145 lbs.,--,,11,3,0
903,Josh Diekmann,The Freight Train,"5' 4""",246 lbs.,--,,15,8,0
904,Kyle Dietz,,"5' 8""",135 lbs.,--,Orthodox,5,2,0
905,Seth Dikun,,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0
906,TJ Dillashaw,,"5' 6""",135 lbs.,"67.0""",Orthodox,18,5,0
907,Ralph Dillon,Rage,"6' 2""",205 lbs.,--,Orthodox,0,2,1
908,Drew Dimanlig,,--,185 lbs.,--,,3,4,0
909,Rodolfo Marques Diniz,,"5' 6""",135 lbs.,--,,23,9,1
910,Jhonata Diniz,,"6' 4""",254 lbs.,"79.0""",Orthodox,7,0,0
911,Helio Dipp,,"6' 5""",185 lbs.,--,Orthodox,6,3,0
912,Rico DiSciullo,,"5' 8""",135 lbs.,--,Orthodox,9,2,0
913,Matt Dixon,Magic,"5' 10""",170 lbs.,"75.0""",Switch,9,1,0
914,John Dixson,Big John,"6' 0""",275 lbs.,--,Orthodox,15,22,0
915,Anthony Do,,"5' 4""",125 lbs.,--,,4,2,0
916,Russell Doane,,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,0
917,Drew Dober,,"5' 8""",155 lbs.,"70.0""",Southpaw,27,13,0
918,Shana Dobson,Danger,"5' 6""",125 lbs.,"69.0""",Orthodox,4,5,0
919,AJ Dobson,,"6' 1""",185 lbs.,"76.0""",Orthodox,7,3,0
920,David Dodd,,"6' 2""",200 lbs.,--,Orthodox,4,7,0
921,John Dodson,The Magician,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,0
922,Joe Doerksen,El Dirte,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,0
923,Mike Dolce,Skull Cracker,"5' 11""",185 lbs.,--,,5,10,0
924,Roman Dolidze,,"6' 2""",185 lbs.,"76.0""",Orthodox,12,3,0
925,Cameron Dollar,,"5' 11""",155 lbs.,--,Orthodox,11,5,0
926,CB Dollaway,The Doberman,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,0
927,Dennis Dombrow,,--,145 lbs.,--,,7,5,0
928,OJ Dominguez,,--,--,--,,0,1,0
929,John Donaldson,J.T.,"5' 8""",145 lbs.,--,,2,2,0
930,Huaxiang Dong,Hua Mulan,--,115 lbs.,--,,11,2,0
931,Cody Donovan,Donnybrook,"6' 3""",205 lbs.,"74.0""",Orthodox,8,5,0
932,Houston Dorr,,"6' 1""",210 lbs.,--,Orthodox,1,2,0
933,Rafael Dos Anjos,,"5' 8""",155 lbs.,"70.0""",Southpaw,32,16,0
934,Junior Dos Santos,Cigano,"6' 4""",238 lbs.,"77.0""",Orthodox,21,9,0
935,Geronimo dos Santos,Mondragon,"6' 3""",264 lbs.,--,Orthodox,39,19,0
936,Antonio Dos Santos,Junior Alpha,"5' 10""",185 lbs.,--,Orthodox,6,4,0
937,Anderson Dos Santos,Berinja,"5' 5""",135 lbs.,"70.0""",Orthodox,21,9,0
938,Acacio Dos Santos,Pequeno,"6' 4""",205 lbs.,"79.0""",Orthodox,14,5,0
939,Rayanne dos Santos,,"5' 2""",115 lbs.,"62.0""",Orthodox,14,7,0
940,Felipe dos Santos,Lipe Detona,"5' 7""",125 lbs.,"70.0""",Orthodox,8,1,0
941,Tiago dos Santos e Silva,Trator,"5' 9""",145 lbs.,"70.0""",Orthodox,20,7,2
942,Oleksandr Doskalchuk,,"5' 6""",125 lbs.,--,Southpaw,10,2,0
943,David Douglas,Tarzan,"5' 11""",155 lbs.,--,,9,7,0
944,Damion Douglas,,--,170 lbs.,--,,4,1,0
945,Cedric Doumbe,,"5' 10""",170 lbs.,--,,2,0,0
946,John Dowdy,,--,--,--,,0,1,0
947,Jordan Dowdy,,--,170 lbs.,--,,4,3,0
948,Danny Downes,,"6' 0""",155 lbs.,"72.0""",Orthodox,8,3,0
949,Derek Downey,,"6' 1""",185 lbs.,--,Orthodox,11,4,0
950,John Doyle,The Iron Bull,"5' 11""",205 lbs.,--,Orthodox,11,22,0
951,Edson Drago,,"6' 4""",220 lbs.,--,Orthodox,11,7,0
952,Kyle Driscoll,KD,"5' 11""",145 lbs.,"74.0""",Orthodox,12,3,0
953,Chris Drumm,,"5' 8""",145 lbs.,--,,0,1,0
954,Tomasz Drwal,Gorilla,"6' 1""",205 lbs.,"76.0""",Orthodox,21,5,1
955,Robert Drysdale,,"6' 3""",205 lbs.,--,Orthodox,7,0,0
956,Dricus Du Plessis,Stillknocks,"6' 1""",185 lbs.,"76.0""",Switch,21,2,0
957,Hugo Duarte,,"6' 0""",240 lbs.,--,Orthodox,6,3,0
958,Antonio Duarte,Tigre,"5' 7""",135 lbs.,--,,19,7,0
959,Joe Duarte,,--,155 lbs.,--,,10,4,0
960,Yuneisy Duben,,--,125 lbs.,--,,5,0,0
961,Matthieu Duclos,,--,185 lbs.,--,,6,2,0
962,Emily Ducote,Gordinha,"5' 2""",115 lbs.,"63.0""",Orthodox,13,8,0
963,Viktoriia Dudakova,,"5' 5""",125 lbs.,"67.0""",Orthodox,8,0,0
964,Milana Dudieva,,"5' 3""",135 lbs.,--,Orthodox,11,6,0
965,Adin Duenas,,"5' 6""",145 lbs.,--,,6,1,0
966,Todd Duffee,,"6' 3""",260 lbs.,"78.0""",Orthodox,9,3,0
967,Joe Duffy,Irish,"5' 10""",155 lbs.,"73.0""",Orthodox,16,5,0
968,Jack Duffy,The Fury,--,125 lbs.,--,,0,0,0
969,Alexis Dufresne,Sneaky Zebra,"5' 9""",135 lbs.,--,Orthodox,6,3,0
970,Jessamyn Duke,The Gun,"5' 11""",135 lbs.,"73.0""",Orthodox,3,5,0
971,Isaac Dulgarian,The Midwest Choppa,"5' 7""",145 lbs.,"71.0""",Orthodox,6,1,0
972,Kelly Dullanty,Psycho,"5' 8""",155 lbs.,--,Orthodox,4,2,0
973,Sedriques Dumas,The Reaper,"6' 2""",185 lbs.,"79.0""",Orthodox,9,2,0
974,Norma Dumont,The Immortal,"5' 7""",135 lbs.,"67.0""",Orthodox,11,2,0
975,Chris Duncan,The Problem,"5' 10""",155 lbs.,"71.0""",Orthodox,11,2,0
976,Christian Leroy Duncan,CLD,"6' 2""",185 lbs.,"79.0""",Switch,10,1,0
977,Evan Dunham,,"5' 10""",155 lbs.,"70.0""",Southpaw,18,9,1
978,Alex Dunworth,,"5' 8""",155 lbs.,--,,2,2,0
979,Tom Duquesnoy,Fire Kid,"5' 7""",135 lbs.,"68.0""",Orthodox,16,2,0
980,Albert Duraev,,"5' 11""",185 lbs.,"75.0""",Orthodox,16,5,0
981,Reuben Duran,,"5' 7""",135 lbs.,"71.0""",Orthodox,11,7,1
982,Cody Durden,,"5' 7""",125 lbs.,"67.0""",Southpaw,16,5,1
983,Luiz Dutra,Besouro,"5' 11""",170 lbs.,--,Orthodox,13,6,1
984,Rilley Dutro,,"5' 8""",125 lbs.,--,Orthodox,11,4,0
985,Bill Duvall,,"6' 2""",185 lbs.,--,Southpaw,1,2,0
986,Merab Dvalishvili,The Machine,"5' 6""",135 lbs.,"68.0""",Orthodox,17,4,0
987,David Dvorak,Undertaker,"5' 5""",125 lbs.,"68.0""",Orthodox,20,6,0
988,Matt Dwyer,,"6' 4""",170 lbs.,"76.0""",Orthodox,9,4,0
989,Rolando Dy,Dy Incredible,"5' 8""",145 lbs.,"69.0""",Orthodox,9,7,1
990,Ben Earwood,,"5' 8""",170 lbs.,--,Orthodox,12,3,0
991,Cody East,The Freight Train,"6' 3""",245 lbs.,--,Orthodox,12,3,0
992,Marvin Eastman,The Beastman,"5' 9""",185 lbs.,"73.0""",Orthodox,18,15,1
993,Mike Easton,The Hulk,"5' 6""",135 lbs.,"70.0""",Southpaw,13,6,0
994,Maurice Eazel,,"5' 7""",135 lbs.,--,,7,15,0
995,Vincent Eazelle,The Real Deal,"5' 11""",155 lbs.,--,,9,2,0
996,Ross Ebanez,The Boss,"5' 9""",154 lbs.,--,Southpaw,20,10,0
997,Brian Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1
998,Roybert Echeverria,The Unbroken,"5' 5""",125 lbs.,"67.0""",Switch,7,1,0
999,Mark Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0
1000,Frankie Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,11,1
1001,Abdul-Kerim Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4,0
1002,Johnny Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13,0
1003,Yves Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1
1004,Justin Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0
1005,Leon Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,22,3,0
1006,Te Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0
1007,Adli Edwards,,--,145 lbs.,--,,4,1,0
1008,Joselyne Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,13,5,0
1009,Tom Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5,0
1010,Stephanie Egger,,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0
1011,Justin Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7,1
1012,Jon Olav Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3,0
1013,Per Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1
1014,John Elam,,--,--,--,,2,0,0
1015,Evan Elder,The Phenom,"5' 10""",155 lbs.,"72.0""",Switch,8,2,0
1016,John Paul Elias,,"6' 4""",205 lbs.,--,,3,1,0
1017,Joao Elias,Alicate,"5' 3""",125 lbs.,"64.0""",Southpaw,17,4,1
1018,Saul Elizondo,,"5' 7""",135 lbs.,--,,6,8,0
1019,Darren Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,28,11,0
1020,Jake Ellenberger,The Juggernaut,"5' 9""",170 lbs.,"71.0""",Orthodox,31,15,0
1021,Joe Ellenberger,Excalibur,"5' 9""",155 lbs.,"72.0""",Orthodox,15,2,0
1022,Tim Elliott,,"5' 7""",125 lbs.,"66.0""",Southpaw,21,13,1
1023,Oban Elliott,The Welsh Gangster,"6' 0""",170 lbs.,"72.0""",Orthodox,10,2,0
1024,Eddy Ellis,Fast,"5' 9""",170 lbs.,--,Orthodox,21,16,1
1025,Lisa Ellis,,"5' 4""",115 lbs.,--,,15,11,0
1026,Anna Elmose,Panda,"5' 3""",115 lbs.,--,Orthodox,3,2,0
1027,Cameron Else,Camchida,"5' 9""",135 lbs.,"71.0""",Switch,10,6,0
1028,Aaron Ely,The Cyborg,"5' 8""",135 lbs.,--,,5,2,0
1029,Sovannahry Em,The Sweet Savage,"5' 4""",135 lbs.,--,,3,1,0
1030,Ramazan Emeev,Gorets,"5' 10""",170 lbs.,"76.0""",Southpaw,20,6,0
1031,Aleksander Emelianenko,,"6' 6""",255 lbs.,--,Orthodox,23,7,0
1032,Fedor Emelianenko,The Last Emperor,"6' 0""",230 lbs.,"74.0""",Orthodox,36,5,0
1033,Rob Emerson,The Saint,"5' 9""",155 lbs.,"70.0""",Orthodox,18,12,0
1034,Jamall Emmers,Pretty Boy,"5' 10""",145 lbs.,"74.0""",Orthodox,20,8,0
1035,Josh Emmett,CC0,"5' 6""",145 lbs.,"70.0""",Orthodox,19,4,0
1036,Marius Enache,,"5' 11""",155 lbs.,--,,3,3,0
1037,Kevin Engel,The Hitman,"6' 2""",170 lbs.,--,,5,1,0
1038,Kolton Englund,White Assassin,"5' 10""",155 lbs.,"69.0""",Orthodox,9,4,0
1039,Oliver Enkamp,,"6' 0""",170 lbs.,"77.0""",Switch,7,2,0
1040,Alex Enlund,,"5' 10""",145 lbs.,--,Orthodox,14,2,0
1041,Kenny Ento,Tha' Dragon,"6' 2""",192 lbs.,--,,14,15,0
1042,Ian Entwistle,Enty,"5' 5""",135 lbs.,--,Orthodox,9,3,0
1043,Andy Enz,Tank Mode,"6' 3""",185 lbs.,"78.0""",Orthodox,10,4,0
1044,Won Jin Eoh,,"5' 7""",160 lbs.,--,Orthodox,5,5,1
1045,Josh Epps,,--,130 lbs.,--,,6,7,0
1046,Steve Erceg,Astroboy,"5' 8""",125 lbs.,"68.0""",Orthodox,12,2,0
1047,Tom Erikson,The Big Cat,"6' 3""",280 lbs.,--,Orthodox,9,4,1
1048,Konstantin Erokhin,,"5' 11""",230 lbs.,--,Orthodox,9,3,0
1049,Julian Erosa,Juicy J,"6' 1""",145 lbs.,"74.0""",Southpaw,29,12,0
1050,Jarno Errens,,"5' 11""",145 lbs.,"73.0""",Orthodox,14,5,1
1051,Nick Ertl,,"5' 9""",155 lbs.,--,,8,6,0
1052,Chel Erwin-Davis,The First Sun,"6' 0""",170 lbs.,--,,5,1,0
1053,Bobby Escalante,,--,130 lbs.,--,,5,6,0
1054,Eric Esch,Butterbean,"5' 11""",350 lbs.,--,Orthodox,15,10,1
1055,Pro Escobedo,,--,205 lbs.,--,,1,0,0
1056,Cole Escovedo,Apache Kid,"5' 7""",135 lbs.,"72.0""",Orthodox,17,9,0
1057,Efrain Escudero,Hecho En Mexico,"5' 9""",155 lbs.,"71.0""",Orthodox,28,12,0
1058,Evan Esguerra,,--,145 lbs.,--,,8,7,0
1059,Carla Esparza,Cookie Monster,"5' 1""",115 lbs.,"63.0""",Orthodox,20,7,0
1060,Juan Espino,El Guapo,"6' 3""",255 lbs.,"80.0""",Orthodox,11,2,0
1061,Jordan Espinosa,The Gamer,"5' 6""",125 lbs.,"69.0""",Orthodox,15,9,0
1062,Jodie Esquibel,,"5' 1""",115 lbs.,"64.0""",Orthodox,6,6,0
1063,Rafael Estevam,Macapa,"5' 8""",125 lbs.,"69.0""",Orthodox,12,0,0
1064,Achilles Estremadura,,"5' 10""",155 lbs.,"68.0""",Orthodox,7,1,0
1065,Shaun Etchell,The Buzzsaw,"5' 7""",125 lbs.,"68.0""",Switch,7,3,0
1066,Terry Etim,,"6' 1""",155 lbs.,"73.0""",Orthodox,16,5,0
1067,Fred Ettish,,"6' 0""",180 lbs.,--,Southpaw,1,1,0
1068,Scott Ettling,,--,135 lbs.,--,,4,2,0
1069,Sijara Eubanks,SarJ,"5' 4""",125 lbs.,"67.0""",Orthodox,8,7,0
1070,Billy Evangelista,,"5' 8""",155 lbs.,"68.0""",Orthodox,13,3,0
1071,Rashad Evans,Suga,"6' 0""",205 lbs.,"75.0""",Orthodox,19,8,1
1072,Doug Evans,,"5' 9""",155 lbs.,--,Orthodox,13,10,0
1073,Ashlee Evans-Smith,Rebel Girl,"5' 8""",135 lbs.,"67.0""",Orthodox,6,6,0
1074,Dan Evensen,The Viking,"6' 3""",250 lbs.,--,Orthodox,11,4,0
1075,Tonya Evinger,Triple Threat,"5' 7""",135 lbs.,"70.0""",Orthodox,19,8,0
1076,Movsar Evloev,,"5' 7""",145 lbs.,"72.0""",Orthodox,18,0,0
1077,Andre Ewell,Mr. Highlight,"5' 8""",145 lbs.,"75.0""",Southpaw,17,9,0
1078,Neal Ewing,,--,185 lbs.,--,,6,0,0
1079,Jessica Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,11,0
1080,Edward Faaloloto,,--,155 lbs.,"70.0""",Orthodox,2,5,0
1081,Urijah Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0
1082,Melinda Fabian,,"5' 6""",125 lbs.,"66.0""",Orthodox,4,4,2
1083,Wagnney Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0
1084,Bartosz Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0
1085,Ron Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0
1086,Jason Fairn,,"6' 1""",230 lbs.,--,,4,5,0
1087,Zarah Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,6,0
1088,Rinat Fakhretdinov,Gladiator,"6' 0""",170 lbs.,"74.0""",Orthodox,21,1,1
1089,Maiquel Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0
1090,Pedro Falcao,Pedrinho,"5' 6""",135 lbs.,"66.0""",Orthodox,16,4,0
1091,Brodie Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0
1092,Joao Paulo Faria,,"5' 9""",155 lbs.,--,,1,1,0
1093,Kalindra Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1
1094,Jair Farias,Chosen,"6' 1""",145 lbs.,"76.0""",Orthodox,10,1,0
1095,Chance Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0
1096,Rico Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0
1097,Kelly Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0
1098,Rodney Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3
1099,Paul Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0
1100,Carlos Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,11,2,0
1101,JP Felty,,--,170 lbs.,--,,4,5,0
1102,Feng Pengchao,,--,135 lbs.,--,,15,9,1
1103,Xiaocan Feng,,--,115 lbs.,--,,8,2,0
1104,Kevin Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0
1105,Rhadi Ferguson,,"5' 7""",205 lbs.,--,,3,0,0
1106,Tony Ferguson,El Cucuy,"5' 11""",155 lbs.,"76.0""",Orthodox,26,10,0
1107,Josh Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0
1108,CJ Fernandes,,"6' 2""",170 lbs.,--,,14,8,3
1109,Bibiano Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0
1110,Gabriella Fernandes,Gabi,"5' 6""",125 lbs.,"66.0""",Southpaw,8,3,0
1111,Kaue Fernandes,,"5' 9""",155 lbs.,"73.0""",Orthodox,8,2,0
1112,Emily Fernandez,,--,--,--,,0,0,0
1113,Lucas Fernando,,"6' 3""",185 lbs.,"80.0""",,9,2,0
1114,Alexandre Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0
1115,Cezar Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0
1116,Diego Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,18,5,0
1117,Erisson Ferreira,Gato,"5' 6""",125 lbs.,"70.0""",Orthodox,12,2,0
1118,Brunno Ferreira,The Hulk,"5' 10""",185 lbs.,"72.0""",Orthodox,11,1,0
1119,Scott Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0
1120,Timo Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0
1121,Andre Fialho,,"6' 0""",170 lbs.,"74.0""",Orthodox,16,8,0
1122,Drew Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0
1123,Scott Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0
1124,Ron Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1
1125,Michal Figlak,Mad Dog,"5' 10""",155 lbs.,"70.0""",Orthodox,8,2,0
1126,Deiveson Figueiredo,Deus da Guerra,"5' 5""",135 lbs.,"68.0""",Orthodox,23,3,1
1127,Francisco Figueiredo,Sniper,"5' 6""",125 lbs.,"68.0""",Southpaw,13,5,1
1128,Anthony Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1
1129,Edwin Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0
1130,Paulo Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3
1131,Jafel Filho,Pastor,"5' 7""",125 lbs.,"68.0""",Orthodox,16,3,0
1132,Andre Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,23,11,0
1133,Mirko Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2
1134,Brady Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0
1135,Jesse Finney,,"6' 0""",170 lbs.,--,,5,1,0
1136,Jan Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0
1137,Torrez Finney,The Punisher,"5' 8""",185 lbs.,"75.0""",Orthodox,7,0,0
1138,Luigi Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0
1139,Nick Fiore,,"5' 10""",155 lbs.,"72.0""",Orthodox,6,2,0
1140,Manon Fiorot,The Beast,"5' 7""",125 lbs.,"65.0""",Orthodox,12,1,0
1141,Luiz Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0
1142,Spencer Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0
1143,Chris Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1
1144,Bryanna Fissori,,"5' 4""",145 lbs.,--,,2,4,0
1145,Jon Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1
1146,Isi Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0
1147,Rafael Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,12,3,0
1148,Colin Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0
1149,AJ Fletcher,The Ghost,"5' 10""",170 lbs.,"67.0""",Switch,10,3,0
1150,Jimmy Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,17,7,0
1151,Luke Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0
1152,Ty Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0
1153,Alejandro Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0
1154,Kenny Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0
1155,Darrius Flowers,Beast Mode,"5' 9""",155 lbs.,"71.0""",Orthodox,12,7,1
1156,Cody Floyd,,--,--,--,,2,0,0
1157,Bobby Flynn,,--,170 lbs.,--,,6,4,0
1158,Caros Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0
1159,Mal Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0
1160,Matt Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0
1161,AJ Fonseca,,"5' 4""",145 lbs.,--,,5,4,0
1162,Rob Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,20,8,0
1163,Claudionor Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1
1164,Jesse Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0
1165,Sterling Ford,,"5' 10""",155 lbs.,--,,15,7,0
1166,Codale Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0
1167,Raheam Forest,Rambo,"5' 11""",170 lbs.,"73.0""",Switch,7,2,0
1168,Jussier Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0
1169,Renee Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0
1170,Brianna Fortino,The Bull,"5' 0""",115 lbs.,"62.0""",Southpaw,9,3,0
1171,Marcel Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0
1172,Brian Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0
1173,Xavier Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0
1174,Mason Fowler,,"5' 11""",170 lbs.,--,,2,0,0
1175,Brandon Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0
1176,Hermes Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0
1177,Glaico Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0
1178,Francisco France,Kiko,"6' 0""",205 lbs.,--,,13,5,1
1179,John Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0
1180,Rich Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0
1181,Zoila Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0
1182,Stephanie Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0
1183,Zane Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0
1184,Gary Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0
1185,Justin Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0
1186,Ian Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1
1187,Jason Freeman,,"6' 2""",225 lbs.,--,,6,4,0
1188,Willamy Freire,Chiquerim,"5' 8""",155 lbs.,--,Orthodox,26,6,0
1189,Patricio Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0
1190,Patricky Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0
1191,Jeremy Freitag,,"6' 1""",205 lbs.,--,,6,10,0
1192,Rafael Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0
1193,Donavon Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0
1194,Josh Fremd,,"6' 4""",185 lbs.,"76.0""",Orthodox,11,5,0
1195,Clay French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0
1196,Mike French,,"5' 10""",145 lbs.,--,,9,10,0
1197,Matt Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,11,4,1
1198,Jinh Yu Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,11,10,0
1199,Artem Frolov,,"5' 10""",185 lbs.,--,,11,0,0
1200,Sarah Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0
1201,Don Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1
1202,Tony Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1
1203,Adam Fugitt,,"6' 1""",170 lbs.,"77.0""",Southpaw,9,4,0
1204,Jesse Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0
1205,Katsuhisa Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1
1206,Megumi Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0
1207,Kazuyuki Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0
1208,Keisuke Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5
1209,Riki Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0
1210,Masio Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0
